job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000061,30,0.003,0.00018261060640295323,0,1505,7,1505
J_000062,30,0.003,0.00018766929038038766,0,3102,1,1571
J_000063,30,0.003,0.0001837806472526956,0,1505,7,1505
J_000064,30,0.003,0.000180346894670279,0,3102,6,1531
J_000065,30,0.003,0.00018010935346167033,0,1559,4,1559
J_000066,30,0.003,0.0001983570242043769,0,1628,0,1628
J_000067,30,0.003,0.00018248739839628995,0,3102,6,1531
J_000068,30,0.003,0.00021263468710280497,0,1550,5,1550
J_000069,30,0.003,0.00018757173748108798,0,1505,7,1505
J_000070,30,0.003,0.0001791301576586857,0,1505,7,1505
J_000071,30,0.003,0.00018647170430288905,0,1559,4,1559
J_000072,30,0.003,0.00020265010137737394,0,1628,0,1628
J_000073,30,0.003,0.00019666545144657216,0,1562,3,1562
J_000074,30,0.003,0.00019357590843278988,0,1562,3,1562
J_000075,30,0.003,0.00018046473734292969,0,1505,7,1505
J_000076,30,0.003,0.00017409722644691044,0,3102,1,1571
J_000077,30,0.003,0.00018367755474722798,0,3102,6,1531
J_000078,30,0.003,0.00019460644640145142,0,1628,0,1628
J_000079,30,0.003,0.00020630767480920784,0,1565,2,1565
J_000080,30,0.003,0.0001783630409410773,0,3102,6,1531
J_000081,30,0.003,0.00020389047728827311,0,1562,3,1562
J_000082,30,0.003,0.00019804311273246463,0,1565,2,1565
J_000083,30,0.003,0.00021019783277543587,0,1628,0,1628
J_000084,30,0.003,0.0001854979839304687,0,3102,1,1571
J_000085,30,0.003,0.0002043535530122923,0,1565,2,1565
J_000086,30,0.003,0.00018433648055782227,0,3102,6,1531
J_000087,30,0.003,0.0001828024815975777,0,1505,7,1505
J_000088,30,0.003,0.000175771890549434,0,1505,7,1505
J_000089,30,0.003,0.00019542284881491378,0,1628,0,1628
J_000090,30,0.003,0.00017897033218973712,0,1505,7,1505
J_000091,30,0.003,0.00019003848860743867,0,1628,0,1628
J_000092,30,0.003,0.00020142398834013478,0,1550,5,1550
J_000093,30,0.003,0.00018218407528472458,0,1505,7,1505
J_000094,30,0.003,0.00019239947634054714,0,1628,0,1628
J_000095,30,0.003,0.00017951143015766324,0,3102,1,1571
J_000096,30,0.003,0.00019533135385748406,0,1565,2,1565
J_000097,30,0.003,0.0001970567230262744,0,1628,0,1628
J_000098,30,0.003,0.00017688166187964667,0,3102,1,1571
