task,method,feature_family,graph_version,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_macro,recall_macro
Job industry,Dummy,ALL_SAFE,enriched,validation,0.11466666666666667,0.1,0.020574162679425835,0.02359170653907496,0.011466666666666667,0.1
Job industry,Logistic Regression,ALL_SAFE,enriched,validation,1.0,1.0,1.0,1.0,1.0,1.0
Job industry,Random Forest,ALL_SAFE,enriched,validation,0.9786666666666667,0.9770202020202021,0.9768138528138527,0.9783974603174603,0.9768224036025893,0.9770202020202021
Job industry,Logistic Regression,ALL_SAFE,enriched,test,1.0,1.0,1.0,1.0,1.0,1.0
Job specialization proxy,Dummy,STRUCTURAL,original,validation,0.7466666666666667,0.5,0.42748091603053434,0.6383715012722646,0.37333333333333335,0.5
Job specialization proxy,Logistic Regression,STRUCTURAL,original,validation,0.856,0.9035714285714286,0.8359845785006155,0.864250631763105,0.8187919463087248,0.9035714285714286
Job specialization proxy,Random Forest,STRUCTURAL,original,validation,0.864,0.8602443609022556,0.832795656621292,0.8684302462821623,0.8159829848974477,0.8602443609022556
Job specialization proxy,Logistic Regression,STRUCTURAL,original,test,0.9146666666666666,0.942652329749104,0.8981531776208582,0.9181662140141228,0.875,0.942652329749104
Job specialization proxy,Dummy,STRUCTURAL,enriched,validation,0.7466666666666667,0.5,0.42748091603053434,0.6383715012722646,0.37333333333333335,0.5
Job specialization proxy,Logistic Regression,STRUCTURAL,enriched,validation,0.856,0.9035714285714286,0.8359845785006155,0.864250631763105,0.8187919463087248,0.9035714285714286
Job specialization proxy,Random Forest,STRUCTURAL,enriched,validation,0.8586666666666667,0.8497180451127819,0.8252424623446966,0.8629465952688702,0.8096292104912794,0.8497180451127819
Job specialization proxy,Logistic Regression,STRUCTURAL,enriched,test,0.9146666666666666,0.942652329749104,0.8981531776208582,0.9181662140141228,0.875,0.942652329749104
seniority (CV),Relational probabilistic classifier,RELATIONAL,original,validation,0.35551075268817206,0.3549151393463607,0.3550369984069353,0.3554709864741523,0.3556508743854077,0.3549151393463607
seniority (Job),Relational probabilistic classifier,RELATIONAL,original,validation,0.35142118863049093,0.35277843201909337,0.3501666911528137,0.35047239085553883,0.3520331330065843,0.35277843201909337
seniority (CV),Relational probabilistic classifier,RELATIONAL,original,test,0.33003300330033003,0.3298582901650277,0.3296424570467062,0.32973715321137986,0.3306849255372592,0.3298582901650277
seniority (Job),Relational probabilistic classifier,RELATIONAL,original,test,0.35,0.3486215538847118,0.3485308916771184,0.3494863367390274,0.3491441058923434,0.3486215538847118
seniority (CV),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.353494623655914,0.35291955709041417,0.35294644203082465,0.35325308942395933,0.35408637589758074,0.35291955709041417
seniority (Job),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.3669250645994832,0.3682808108405169,0.3651123768893889,0.3653451161312805,0.3666752307545913,0.3682808108405169
seniority (CV),Relational probabilistic classifier,RELATIONAL,enriched,test,0.3326732673267327,0.33246462949084526,0.33216309472552935,0.33226373877450305,0.33310808973025163,0.33246462949084526
seniority (Job),Relational probabilistic classifier,RELATIONAL,enriched,test,0.3611111111111111,0.36033138401559456,0.36042021943375063,0.36082234569794586,0.3610161443494777,0.36033138401559456
industry (CV),Relational probabilistic classifier,RELATIONAL,original,validation,0.09115281501340483,0.09141539432488174,0.0909216804398423,0.09086946028662246,0.09195461538135034,0.09141539432488174
industry (Job),Relational probabilistic classifier,RELATIONAL,original,validation,0.10182767624020887,0.10530451731766252,0.10315904783137861,0.10026978067599727,0.10292276710124026,0.10530451731766252
industry (CV),Relational probabilistic classifier,RELATIONAL,original,test,0.09713905522288756,0.09752815006910187,0.09626338457379395,0.09612218227156617,0.09642506865686232,0.09752815006910187
industry (Job),Relational probabilistic classifier,RELATIONAL,original,test,0.08333333333333333,0.08211808487350283,0.08247076860395368,0.08453032430494828,0.08484568126808215,0.08211808487350283
industry (CV),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.14611260053619302,0.14641748990546427,0.1459546485670962,0.14594843156468676,0.1476608683218903,0.14641748990546427
industry (Job),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.31592689295039167,0.31246142527881127,0.3134796253759072,0.3171548500709577,0.3228022018969177,0.31246142527881127
industry (CV),Relational probabilistic classifier,RELATIONAL,enriched,test,0.1596806387225549,0.15970986648320434,0.1584450325879242,0.1587407689644469,0.15970672370368094,0.15970986648320434
industry (Job),Relational probabilistic classifier,RELATIONAL,enriched,test,0.27419354838709675,0.271476973963429,0.27175599118296667,0.2766401217162765,0.2779419924234078,0.271476973963429
specialization proxy (CV),Relational probabilistic classifier,RELATIONAL,original,validation,0.9287141905396402,0.9060233918128655,0.9155827192848286,0.9278047474290875,0.9273049032776336,0.9060233918128655
specialization proxy (Job),Relational probabilistic classifier,RELATIONAL,original,validation,0.8903743315508021,0.9267857142857143,0.870981312736115,0.8958578748018516,0.8481481481481481,0.9267857142857143
specialization proxy (CV),Relational probabilistic classifier,RELATIONAL,original,test,0.9179790026246719,0.8893078682662245,0.9016487388580412,0.9165326829674019,0.9178173241852488,0.8893078682662245
specialization proxy (Job),Relational probabilistic classifier,RELATIONAL,original,test,0.9145299145299145,0.9387362637362637,0.8980836236933798,0.9177958446251129,0.8759960880904085,0.9387362637362637
specialization proxy (CV),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.9307128580946036,0.9091812865497075,0.9181020733652312,0.9298992590798054,0.9288779012749264,0.9091812865497075
specialization proxy (Job),Relational probabilistic classifier,RELATIONAL,enriched,validation,0.893048128342246,0.9285714285714286,0.8738191632928476,0.8983163379448209,0.8507462686567164,0.9285714285714286
specialization proxy (CV),Relational probabilistic classifier,RELATIONAL,enriched,test,0.9186351706036745,0.8903517096023414,0.9024980187557786,0.9172296767330514,0.9183321736337847,0.8903517096023414
specialization proxy (Job),Relational probabilistic classifier,RELATIONAL,enriched,test,0.9145299145299145,0.9423076923076923,0.8986330381209088,0.9179608950498439,0.8760330578512396,0.9423076923076923
