job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000265,32,0.0032,0.00017806926471801004,0,3102,1,1571
J_000266,33,0.0033,0.0001887839762373014,0,3102,6,1531
J_000267,31,0.0031,0.00018012751153006896,0,3102,6,1531
J_000268,32,0.0032,0.00019182188832259642,0,1628,0,1628
J_000269,32,0.0032,0.00019874411106504263,0,1550,5,1550
J_000270,33,0.0033,0.00021307965638299936,0,1565,2,1565
J_000271,33,0.0033,0.00021774298215818512,0,1565,2,1565
J_000272,32,0.0032,0.0001844022897739528,0,3102,6,1531
J_000273,32,0.0032,0.00019932887579233197,0,1565,2,1565
J_000274,34,0.0034,0.0001952234657440296,0,1559,4,1559
J_000275,34,0.0034,0.00020631662420494165,0,1628,0,1628
J_000276,32,0.0032,0.00017609283062572424,0,1505,7,1505
J_000277,33,0.0033,0.00019682798078920425,0,1559,4,1559
J_000278,33,0.0033,0.0001923024745690146,0,1559,4,1559
J_000279,32,0.0032,0.00018390989245634944,0,1505,7,1505
J_000280,35,0.0035,0.00020156522833416235,0,1562,3,1562
J_000281,31,0.0031,0.00017817097204043099,0,3102,1,1571
J_000282,32,0.0032,0.0001904952857739023,0,3102,6,1531
J_000283,32,0.0032,0.0001808989433276352,0,1559,4,1559
J_000284,34,0.0034,0.00018791684610906505,0,3102,1,1571
J_000285,30,0.003,0.00018565287808084465,0,1562,3,1562
J_000286,32,0.0032,0.00018096212271866786,0,3102,6,1531
J_000287,32,0.0032,0.00019426932608483874,0,1628,0,1628
J_000288,30,0.003,0.0001782508272888831,0,1628,0,1628
J_000289,32,0.0032,0.0001925149548331982,0,1562,3,1562
J_000290,33,0.0033,0.00019080714474252345,0,1559,4,1559
J_000291,30,0.003,0.00017362277072691836,0,1559,4,1559
J_000292,31,0.0031,0.00017487682390401803,0,3102,1,1571
J_000293,33,0.0033,0.00018789722758118455,0,1559,4,1559
J_000294,31,0.0031,0.00019760862185050267,0,1565,2,1565
J_000295,33,0.0033,0.00018678573213701691,0,3102,1,1571
J_000296,33,0.0033,0.00018519719843422604,0,3102,1,1571
J_000297,32,0.0032,0.0002074612786104009,0,1565,2,1565
J_000298,34,0.0034,0.00020971805249080252,0,1550,5,1550
J_000299,33,0.0033,0.00019249010772717624,0,1562,3,1562
J_000300,32,0.0032,0.0001908632605669187,0,1559,4,1559
J_000301,31,0.0031,0.00018966291621092893,0,1628,0,1628
J_000302,31,0.0031,0.00019612663319157285,0,1550,5,1550
J_000303,33,0.0033,0.00019669504046864697,0,1559,4,1559
J_000304,33,0.0033,0.00018880389311444815,0,3102,6,1531
J_000305,32,0.0032,0.00018910964251009336,0,1550,5,1550
J_000306,33,0.0033,0.00019060574367315783,0,1559,4,1559
J_000307,30,0.003,0.0001805655382660811,0,3102,1,1571
J_000308,30,0.003,0.00018303155973123337,0,1562,3,1562
J_000309,32,0.0032,0.0001753764478283482,0,3102,1,1571
J_000310,30,0.003,0.00017651617240490404,0,3102,1,1571
J_000311,33,0.0033,0.00018413269414603781,0,1505,7,1505
J_000312,33,0.0033,0.00019579066555967394,0,1628,0,1628
J_000313,31,0.0031,0.00018858072219000586,0,1559,4,1559
J_000314,33,0.0033,0.00022971366014683343,0,1565,2,1565
J_000315,32,0.0032,0.00019547462144945904,0,1628,0,1628
J_000316,31,0.0031,0.000181060801556841,0,3102,6,1531
J_000317,33,0.0033,0.0001908641177901044,0,1505,7,1505
J_000318,31,0.0031,0.00018606642392746684,0,1628,0,1628
J_000319,35,0.0035,0.00019178106262604188,0,3102,1,1571
J_000320,31,0.0031,0.00017134349007674542,0,3102,1,1571
J_000321,31,0.0031,0.00018274410791997917,0,3102,1,1571
J_000322,31,0.0031,0.00018600980364301978,0,1550,5,1550
J_000323,32,0.0032,0.0001826655747569036,0,3102,1,1571
J_000324,31,0.0031,0.0001911026305101548,0,1628,0,1628
J_000325,32,0.0032,0.00020171887916703668,0,1550,5,1550
J_000326,32,0.0032,0.00017803126593360642,0,3102,1,1571
J_000327,33,0.0033,0.00018982752662890807,0,1559,4,1559
J_000328,33,0.0033,0.00020636839058763124,0,1565,2,1565
J_000329,32,0.0032,0.00020487421682665382,0,1550,5,1550
J_000330,34,0.0034,0.0001818793545370545,0,1505,7,1505
J_000331,31,0.0031,0.00017749717630141478,0,1562,3,1562
J_000332,31,0.0031,0.0001772637316482134,0,1562,3,1562
J_000333,31,0.0031,0.00018033012070650374,0,1562,3,1562
J_000334,33,0.0033,0.00021535504980607054,0,1565,2,1565
J_000335,31,0.0031,0.00019626316886342586,0,1559,4,1559
J_000336,34,0.0034,0.00020966898491760183,0,1559,4,1559
J_000337,31,0.0031,0.00019189603552207383,0,1550,5,1550
J_000338,32,0.0032,0.00017081792370003535,0,1505,7,1505
J_000339,31,0.0031,0.0001848509213528323,0,3102,6,1531
J_000340,32,0.0032,0.00019800025567841338,0,1628,0,1628
J_000341,31,0.0031,0.00019328558181307042,0,1550,5,1550
J_000342,33,0.0033,0.0001844111756878822,0,1562,3,1562
J_000343,34,0.0034,0.00020350317681364972,0,1628,0,1628
J_000344,32,0.0032,0.00019309189954042617,0,3102,6,1531
J_000345,35,0.0035,0.00020989335187912846,0,1628,0,1628
J_000346,31,0.0031,0.00018100137114884738,0,3102,1,1571
J_000347,32,0.0032,0.0001903029088737187,0,1628,0,1628
J_000348,32,0.0032,0.00017501028000208103,0,1505,7,1505
J_000349,31,0.0031,0.00021045825301354714,0,1565,2,1565
J_000350,31,0.0031,0.0001915217433725379,0,1562,3,1562
J_000351,31,0.0031,0.00020122685922520486,0,1565,2,1565
J_000352,32,0.0032,0.00018784766837948036,0,3102,6,1531
J_000353,31,0.0031,0.0002068200560977721,0,1565,2,1565
J_000354,31,0.0031,0.00019387406377146906,0,1550,5,1550
J_000355,31,0.0031,0.00020056768164614463,0,1565,2,1565
J_000356,34,0.0034,0.00020065696534191213,0,1562,3,1562
J_000357,32,0.0032,0.00020745043822296023,0,1565,2,1565
J_000358,31,0.0031,0.0001727596957840629,0,1505,7,1505
J_000359,33,0.0033,0.00021064568011356922,0,1565,2,1565
J_000360,31,0.0031,0.00017909879435805694,0,1559,4,1559
J_000361,32,0.0032,0.00019490908312104173,0,1562,3,1562
J_000362,38,0.0038,0.00020728922384838784,0,3102,6,1531
J_000363,34,0.0034,0.00019096949577351069,0,3102,1,1571
J_000364,33,0.0033,0.00018077517127232823,0,3102,6,1531
J_000365,32,0.0032,0.00020243747023377293,0,1628,0,1628
J_000366,33,0.0033,0.0001933555715535329,0,1559,4,1559
J_000367,35,0.0035,0.00018676831729696455,0,3102,6,1531
J_000368,30,0.003,0.00017338270314600567,0,3102,6,1531
